Record ID,Employee ID,Employee Name,Course ID,Course Name,Course Version,Assigned Date,Start Date,Completion Date,Completion Status,Score,Passing Score,Attempts,Duration (minutes)
LMS-900000,WB10013,Kayla Nguyen,WB-102,Food Safety Fundamentals,1.0,2023-02-01,2023-02-02,2023-02-02,Completed,81,80,2,21
LMS-900001,WB10013,Kayla Nguyen,WB-103,Guest Experience Fundamentals,1.0,2024-03-01,2024-03-03,2024-03-03,Completed,84,80,1,22
LMS-900002,WB10013,Kayla Nguyen,WB-105,Host Position Training,1.0,2023-05-01,2023-05-05,2023-05-05,Completed,90,80,1,24
LMS-900003,WB10013,Kayla Nguyen,WB-106,Server Position Training,1.0,2024-06-01,2024-06-06,2024-06-06,Completed,93,80,2,25
LMS-900004,WB10013,Kayla Nguyen,WB-108,Menu Knowledge Certification,1.0,2023-08-01,2023-08-08,2023-08-08,Completed,99,80,2,27
LMS-900005,WB10014,Grant Ibarra,WB-101,Wahlburgers Orientation,1.0,2023-02-01,2023-02-04,2023-02-04,Completed,85,80,2,25
LMS-900006,WB10014,Grant Ibarra,WB-102,Food Safety Fundamentals,1.0,2024-03-01,2024-03-05,2024-03-05,Completed,88,80,1,26
LMS-900007,WB10014,Grant Ibarra,WB-104,"Cook Fundamentals: Quality, Safety & Execution",1.0,2023-05-01,2023-05-07,2023-05-07,Completed,94,80,1,28
LMS-900008,WB10014,Grant Ibarra,WB-105,Host Position Training,1.0,2024-06-01,2024-06-08,2024-06-08,Completed,97,80,2,29
LMS-900009,WB10014,Grant Ibarra,WB-107,Bartender Training,1.0,2023-08-01,2023-08-10,2023-08-10,Completed,81,80,2,31
LMS-900010,WB10014,Grant Ibarra,WB-108,Menu Knowledge Certification,1.0,2024-09-01,2024-09-11,2024-09-11,Completed,84,80,1,32
LMS-900011,WB10015,Dylan Faulkner,WB-101,Wahlburgers Orientation,1.0,2024-03-01,2024-03-07,2024-03-07,Completed,92,80,1,30
LMS-900012,WB10015,Dylan Faulkner,WB-103,Guest Experience Fundamentals,1.0,2023-05-01,2023-05-09,2023-05-09,Completed,98,80,1,32
LMS-900013,WB10015,Dylan Faulkner,WB-104,"Cook Fundamentals: Quality, Safety & Execution",1.0,2024-06-01,2024-06-10,2024-06-10,Completed,79,80,2,33
LMS-900014,WB10015,Dylan Faulkner,WB-106,Server Position Training,1.0,2023-08-01,2023-08-12,2023-08-12,Completed,85,80,2,35
LMS-900015,WB10015,Dylan Faulkner,WB-107,Bartender Training,1.0,2024-09-01,2024-09-13,2024-09-13,Completed,88,80,1,36
LMS-900016,WB10016,Maya Lindqvist,WB-102,Food Safety Fundamentals,1.0,2023-05-01,2023-05-11,2023-05-11,Completed,80,80,1,36
LMS-900017,WB10016,Maya Lindqvist,WB-103,Guest Experience Fundamentals,1.0,2024-06-01,2024-06-12,2024-06-12,Completed,83,80,2,37
